median_age,new_tests_per_thousand,total_boosters,new_tests_smoothed,hosp_patients_per_million,total_deaths_per_million,aged_70_older,population_density,people_fully_vaccinated,new_people_vaccinated_smoothed_per_hundred,new_tests_smoothed_per_thousand,total_tests_per_thousand,human_development_index,total_boosters_per_hundred,new_cases,new_cases_smoothed_per_million,icu_patients_per_million,new_cases_per_million,hosp_patients,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,new_vaccinations,total_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,stringency_index,total_deaths,new_vaccinations_smoothed,new_tests,icu_patients,new_vaccinations_smoothed_per_million
41.4,0.191,0.0,4192.0,0.8140000000000001,0.289,10.797,4.037,0.0,0.0,0.11,0.898,0.929,0.0,200.0,2.27,0.368,5.254,31.0,0.0,0.0,86.429,2.65,0.0,0.0,7.37,0.0,34193.0,0.0,48.5,19.229,0.0,732.0,0.0206,2.0,61.11,11.0,0.0,7286.0,14.0,0.0
41.4,0.226,0.0,5152.0,1.103,0.289,10.797,4.037,0.0,0.0,0.135,1.124,0.929,0.0,189.0,2.927,0.42,4.965,42.0,0.0,0.0,111.429,2.62,0.0,0.0,7.37,0.0,42801.0,0.0,46.2,24.194000000000006,0.0,921.0,0.0216,5.0,61.11,11.0,0.0,8608.0,16.0,0.0
41.4,0.191,0.0,5740.0,1.366,0.394,10.797,4.037,0.0,0.0,0.151,1.315,0.929,0.0,254.0,3.61,0.63,6.6720000000000015,52.0,0.0,0.0,137.429,2.6,0.0,0.0,7.37,0.0,50068.0,0.0,41.8,30.866,0.0,1175.0,0.0239,0.0,71.3,15.0,0.0,7267.0,24.0,0.0
41.4,0.213,0.0,6427.0,1.786,0.499,10.797,4.037,0.0,0.0,0.16899999999999998,1.529,0.929,0.0,478.0,5.318,0.8140000000000001,12.557,68.0,0.0,0.0,202.429,2.57,0.0,0.0,7.37,0.0,58195.0,0.0,31.7,43.422,0.0,1653.0,0.0315,4.0,71.3,19.0,0.0,8127.0,31.0,0.0
41.4,0.277,0.0,7339.0,1.996,0.578,10.797,4.037,0.0,0.0,0.193,1.805,0.929,0.0,392.0,6.563,0.919,10.297,76.0,0.0,0.0,249.857,2.49,0.0,0.0,7.37,0.0,68730.0,0.0,29.4,53.72,0.0,2045.0,0.034,4.0,71.3,22.0,0.0,10535.0,35.0,0.0
41.4,0.293,0.0,8286.0,2.7060000000000004,0.762,10.797,4.037,0.0,0.0,0.218,2.0980000000000003,0.929,0.0,555.0,8.068,1.156,14.579,103.0,0.0,0.0,307.143,2.41,0.0,0.0,7.37,0.0,79877.0,0.0,27.0,68.29899999999999,0.0,2600.0,0.0371,3.0,72.69,29.0,0.0,11147.0,44.0,0.0
41.4,0.278,0.0,9080.0,4.019,0.867,10.797,4.037,0.0,0.0,0.239,2.376,0.929,0.0,585.0,9.956,1.681,15.367,153.0,0.0,0.0,379.0,2.34,0.0,0.0,7.37,0.0,90468.0,0.0,24.0,83.666,0.0,3185.0,0.0417,7.0,72.69,33.0,0.0,10591.0,64.0,0.0
41.4,0.29100000000000004,0.0,9621.0,4.623,1.103,10.797,4.037,0.0,0.0,0.253,2.667,0.929,0.0,498.0,11.074000000000002,1.891,13.082,176.0,0.0,0.0,421.571,2.25,0.0,0.0,7.37,0.0,101538.0,0.0,22.8,96.748,0.0,3683.0,0.0438,4.0,72.69,42.0,0.0,11070.0,72.0,0.0
41.4,0.287,0.0,9950.0,5.674,1.497,10.797,4.037,0.0,0.0,0.261,2.954,0.929,0.0,867.0,13.619000000000002,2.154,22.775,216.0,0.0,0.0,518.429,2.19,0.0,0.0,7.37,0.0,112449.0,0.0,19.2,119.523,0.0,4550.0,0.0521,9.0,72.69,57.0,0.0,10911.0,82.0,0.0
41.4,0.321,0.0,10657.0,6.83,1.734,10.797,4.037,0.0,0.0,0.28,3.275,0.929,0.0,699.0,15.288,2.338,18.362,260.0,0.0,0.0,582.0,2.11,0.0,0.0,7.37,0.0,124666.0,0.0,18.3,137.885,0.0,5249.0,0.0546,15.0,72.69,66.0,0.0,12217.0,89.0,0.0
41.4,0.328,0.0,11280.0,7.723,2.154,10.797,4.037,0.0,0.0,0.29600000000000004,3.603,0.929,0.0,836.0,16.632,3.284,21.961,294.0,0.0,0.0,633.143,2.04,0.0,0.0,7.37,0.0,137153.0,0.0,17.8,159.846,0.0,6085.0,0.0561,9.0,72.69,82.0,0.0,12487.0,125.0,0.0
41.4,0.406,0.0,11981.0,8.642000000000001,2.522,10.797,4.037,0.0,0.0,0.315,4.008,0.929,0.0,930.0,18.651,3.73,24.43,329.0,0.0,0.0,710.0,1.98,0.0,0.0,7.37,0.0,152595.0,0.0,16.9,184.276,0.0,7015.0,0.0593,16.0,72.69,96.0,0.0,15442.0,142.0,0.0
41.4,0.318,0.0,12120.0,10.665,3.284,10.797,4.037,0.0,0.0,0.318,4.327,0.929,0.0,1106.0,20.719,4.124,29.053,406.0,0.0,0.0,788.7139999999998,1.91,0.0,0.0,7.37,0.0,164718.0,0.0,15.4,213.329,0.0,8121.0,0.0651,14.0,72.69,125.0,0.0,12123.0,157.0,0.0
41.4,0.35700000000000004,0.0,12550.0,12.662,3.993,10.797,4.037,0.0,0.0,0.33,4.684,0.929,0.0,1125.0,22.745,4.334,29.552,482.0,0.0,0.0,865.857,1.85,0.0,0.0,7.37,0.0,178318.0,0.0,14.5,242.882,0.0,9246.0,0.069,29.0,72.69,152.0,0.0,13600.0,165.0,0.0
41.4,0.368,0.0,12972.0,13.817,4.597,10.797,4.037,0.0,0.0,0.341,5.053,0.929,0.0,1281.0,25.683000000000003,4.5710000000000015,33.65,526.0,0.0,0.0,977.714,1.79,0.0,0.0,7.37,0.0,192339.0,0.0,13.3,276.532,0.0,10527.0,0.0754,27.0,74.54,175.0,0.0,14021.0,174.0,0.0
41.4,0.431,0.0,13759.0,26.085,5.884,10.797,4.037,0.0,0.0,0.361,5.484,0.929,0.0,1692.0,28.779,9.509,44.447,993.0,0.0,0.0,1095.571,1.73,0.0,0.0,7.37,0.0,208760.0,0.0,12.6,320.9790000000001,0.0,12219.0,0.0796,23.0,74.54,224.0,0.0,16421.0,362.0,0.0
41.4,0.39,0.0,14136.0,29.658,7.276,10.797,4.037,0.0,0.0,0.371,5.874,0.929,0.0,1340.0,31.185,10.429,35.2,1129.0,0.0,0.0,1187.143,1.66,0.0,0.0,7.37,0.0,223618.0,0.0,11.9,356.1790000000001,0.0,13559.0,0.084,49.0,74.54,277.0,0.0,14858.0,397.0,0.0
41.4,0.396,0.0,14504.0,31.943,9.457,10.797,4.037,0.0,0.0,0.381,6.27,0.929,0.0,1347.0,33.102,11.138,35.384,1216.0,0.0,0.0,1260.143,1.59,0.0,0.0,7.37,0.0,238679.0,0.0,11.5,391.5630000000001,0.0,14906.0,0.0869,53.0,72.69,360.0,0.0,15061.0,424.0,0.0
