new_tests_per_thousand,new_tests_smoothed,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,hospital_beds_per_thousand,new_cases,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million
0.011,1139.0,0.42,27.049,347.778,0.0,0.048,0.009000000000000001,0.0,0.206,0.022,13.05,102.0,0.0,0.0,1.97,0.0,0.0,0.0,25977.0,0.0,2.714,15.7,12.138,84.63,0.0,39002.223,1530.0,0.0637,6.0,40.74,53.0,1442.0,0.0,0.0
0.002,1162.0,0.444,27.049,347.778,0.0,0.024,0.009000000000000001,0.0,0.208,0.023,13.05,114.0,0.0,0.0,2.12,0.0,0.0,0.0,26273.0,0.0,2.857,12.2,13.709,84.63,0.0,39002.223,1728.0,0.0822,3.0,40.74,56.0,296.0,0.0,0.0
0.002,1184.0,0.5,27.049,347.778,0.0,0.056,0.009000000000000001,0.0,0.21,0.026,13.05,198.0,0.0,0.0,2.1,0.0,0.0,0.0,26479.0,0.0,3.286,10.3,15.129,84.63,0.0,39002.223,1907.0,0.0969,7.0,40.74,63.0,206.0,0.0,0.0
0.028,1129.0,0.516,27.049,347.778,0.0,0.016,0.009000000000000001,0.0,0.238,0.027000000000000003,13.05,179.0,0.0,0.0,2.03,0.0,0.0,0.0,29960.0,0.0,3.429,9.2,15.875,84.63,0.0,39002.223,2001.0,0.1084,2.0,40.74,65.0,3481.0,0.0,0.0
0.015,1354.0,0.532,27.049,347.778,0.0,0.016,0.011,0.0,0.253,0.028,13.05,94.0,0.0,0.0,2.07,0.0,0.0,0.0,31874.0,0.0,3.571,9.1,17.89,84.63,0.0,39002.223,2255.0,0.1095,2.0,40.74,67.0,1914.0,0.0,0.0
0.0,1641.0,0.5710000000000001,27.049,347.778,0.0,0.04,0.013,0.0,0.0,0.031,13.05,254.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,3.857,9.4,20.111,84.63,0.0,39002.223,2535.0,0.1063,5.0,40.74,72.0,0.0,0.0,0.0
0.037000000000000005,1718.0,0.595,27.049,347.778,0.0,0.024,0.014,0.0,0.29,0.032,13.05,280.0,0.0,0.0,1.95,0.0,0.0,0.0,36559.0,0.0,4.0,8.6,22.356,84.63,0.0,39002.223,2818.0,0.1166,3.0,40.74,75.0,4685.0,0.0,0.0
0.026,1984.0,0.643,27.049,347.778,0.0,0.048,0.016,0.0,0.316,0.032,13.05,283.0,0.0,0.0,1.89,0.0,0.0,0.0,39864.0,0.0,4.0,8.6,25.022,84.63,0.0,39002.223,3154.0,0.1169,6.0,43.52,81.0,3305.0,0.0,0.0
0.002,1980.0,0.69,27.049,347.778,0.0,0.048,0.016,0.0,0.318,0.035,13.05,336.0,0.0,0.0,1.81,0.0,0.0,0.0,40135.0,0.0,4.4289999999999985,7.7,27.965,84.63,0.0,39002.223,3525.0,0.1297,6.0,43.52,87.0,271.0,0.0,0.0
0.002,1982.0,0.738,27.049,347.778,0.0,0.048,0.016,0.0,0.32,0.034,13.05,371.0,0.0,0.0,1.77,0.0,0.0,0.0,40353.0,0.0,4.2860000000000005,7.0,30.75,84.63,0.0,39002.223,3876.0,0.1419,6.0,43.52,93.0,218.0,0.0,0.0
