median_age,new_tests_per_thousand,total_boosters,new_tests_smoothed,cardiovasc_death_rate,total_deaths_per_million,aged_70_older,extreme_poverty,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,hospital_beds_per_thousand,total_boosters_per_hundred,male_smokers,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations,total_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_vaccinations_smoothed,new_tests,new_cases
43.4,0.158,0.0,12432.0,85.99799999999998,1.033,8.622,0.2,0.0,0.058,0.242,0.0,3.832,0.07,12.27,0.0,40.9,0.0,0.0,0.65,0.0,0.0,6.8,0.0,196618.0,0.0,3.571,27.7,145.755,0.0,7478.0,0.0361,3.0,0.0,55.56,53.0,0.0,8100.0,273.0
43.4,0.264,0.0,12042.0,85.99799999999998,1.053,8.622,0.2,0.0,0.019,0.235,0.0,4.096,0.07200000000000001,12.27,0.0,40.9,0.0,0.0,0.55,0.0,0.0,6.8,0.0,210144.0,0.0,3.714,36.2,146.437,0.0,7513.0,0.0276,1.0,0.0,55.56,54.0,0.0,13526.0,164.0
43.4,0.239,0.0,12241.0,85.99799999999998,1.169,8.622,0.2,0.0,0.117,0.239,0.0,4.335,0.07,12.27,0.0,40.9,0.0,0.0,0.52,0.0,0.0,6.8,0.0,222395.0,0.0,3.571,40.2,151.154,0.0,7755.0,0.0249,6.0,0.0,55.56,60.0,0.0,12251.0,35.0
43.4,0.0,0.0,11430.0,85.99799999999998,1.286,8.622,0.2,0.0,0.117,0.223,0.0,0.0,0.086,12.27,0.0,40.9,0.0,0.0,0.34,0.0,0.0,6.8,0.0,0.0,0.0,4.4289999999999985,44.9,153.376,0.0,7869.0,0.0223,6.0,0.0,55.56,66.0,0.0,0.0,242.0
43.4,0.0,0.0,9424.0,85.99799999999998,1.286,8.622,0.2,0.0,0.0,0.184,0.0,4.497,0.067,12.27,0.0,40.9,0.0,0.0,0.26,0.0,0.0,6.8,0.0,230707.0,0.0,3.429,47.6,155.52,0.0,7979.0,0.021,0.0,0.0,55.56,66.0,0.0,0.0,114.0
43.4,0.0,0.0,8875.0,85.99799999999998,1.403,8.622,0.2,0.0,0.117,0.173,0.0,0.0,0.078,12.27,0.0,40.9,0.0,0.0,0.23,0.0,0.0,6.8,0.0,0.0,0.0,4.0,59.4,157.606,0.0,8086.0,0.0168,6.0,0.0,55.56,72.0,0.0,0.0,110.0
43.4,0.0,0.0,8772.0,85.99799999999998,1.462,8.622,0.2,0.0,0.058,0.171,0.0,0.0,0.07,12.27,0.0,40.9,0.0,0.0,0.4,0.0,0.0,6.8,0.0,0.0,0.0,3.571,72.4,159.08700000000005,0.0,8162.0,0.0138,3.0,0.0,55.56,75.0,0.0,0.0,107.0
43.4,0.0,0.0,8988.0,85.99799999999998,1.462,8.622,0.2,0.0,0.0,0.175,0.0,5.059,0.061,12.27,0.0,40.9,0.0,0.0,0.54,0.0,0.0,6.8,0.0,259533.0,0.0,3.143,83.0,160.53,0.0,8236.0,0.012,0.0,0.0,55.56,75.0,0.0,0.0,76.0
43.4,0.0,0.0,8560.0,85.99799999999998,1.579,8.622,0.2,0.0,0.117,0.16699999999999998,0.0,0.0,0.075,12.27,0.0,40.9,0.0,0.0,0.59,0.0,0.0,6.8,0.0,0.0,0.0,3.857,74.3,162.167,0.0,8320.0,0.0135,6.0,0.0,55.56,81.0,0.0,0.0,74.0
43.4,0.0,0.0,8314.0,85.99799999999998,1.6369999999999998,8.622,0.2,0.0,0.058,0.162,0.0,0.0,0.067,12.27,0.0,40.9,0.0,0.0,0.59,0.0,0.0,6.8,0.0,0.0,0.0,3.429,88.4,163.98,0.0,8413.0,0.0113,3.0,0.0,55.56,84.0,0.0,0.0,84.0
